Model,Environment,AUC,CI_lower,CI_upper,CI_width
ERM,2011-12,0.8177,0.7874,0.8464,0.0591
ERM,2013-14,0.8364,0.8078,0.86,0.0522
ERM,2015-16,0.8208,0.7912,0.8485,0.0573
ERM,2017-18,0.8237,0.7939,0.852,0.0581
IRM,2011-12,0.8179,0.7877,0.8467,0.059
IRM,2013-14,0.8358,0.8073,0.8593,0.052
IRM,2015-16,0.8212,0.7922,0.8486,0.0564
IRM,2017-18,0.8221,0.7926,0.8511,0.0585
CausTab,2011-12,0.8181,0.7879,0.8476,0.0597
CausTab,2013-14,0.8364,0.8077,0.8599,0.0522
CausTab,2015-16,0.8217,0.7925,0.849,0.0564
CausTab,2017-18,0.8237,0.7938,0.8522,0.0584
