Spurious_strength,Model,Mean_AUC,Std_AUC
0.5,ERM,0.9346,0.0058
0.5,IRM,0.9187,0.0031
0.5,CausTab,0.9347,0.0058
1.0,ERM,0.9256,0.0061
1.0,IRM,0.8745,0.0061
1.0,CausTab,0.9258,0.0061
1.5,ERM,0.9021,0.0073
1.5,IRM,0.7884,0.0053
1.5,CausTab,0.9022,0.0073
2.0,ERM,0.8646,0.0083
2.0,IRM,0.7303,0.0058
2.0,CausTab,0.8648,0.0083
2.5,ERM,0.8271,0.008
2.5,IRM,0.689,0.0047
2.5,CausTab,0.8274,0.0078
3.0,ERM,0.7954,0.0095
3.0,IRM,0.6762,0.0021
3.0,CausTab,0.7957,0.0093
4.0,ERM,0.7559,0.0107
4.0,IRM,0.6846,0.006
4.0,CausTab,0.7562,0.0107
